#{"t_start": 1754642765.804988, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
185.0,2001,576.791325
325.0,2605,578.13218
195.0,2761,579.583593
265.0,3159,581.245533
275.0,2409,582.537511
300.0,2415,583.790531
145.0,1871,584.77988
520.0,3607,586.645563
95.0,1571,587.471165
125.0,2541,588.806603
180.0,2675,590.21855
400.0,3665,594.346145
125.0,1909,595.376346
190.0,2255,596.550379
230.0,2509,597.909325
460.0,3517,599.777343
335.0,2913,601.326499
235.0,2701,602.761811
215.0,2111,603.878277
395.0,3237,605.622936
175.0,2139,606.754552
220.0,2941,608.364371
210.0,1881,609.342482
145.0,2007,610.422148
40.0,1699,611.317042
95.0,1913,612.328666
145.0,1937,613.340744
335.0,4323,615.642256
265.0,2961,617.282369
355.0,3909,619.348091
90.0,1731,620.291284
235.0,2879,621.821773
230.0,2069,622.924729
310.0,3157,624.597557
180.0,1903,625.594895
300.0,3211,627.30864
225.0,1909,628.296757
90.0,1433,629.03432
440.0,3705,630.997053
285.0,2463,632.277423
305.0,2765,633.730907
275.0,2599,635.107832
265.0,2675,636.520756
70.0,1331,637.205318
300.0,2871,638.74765
215.0,2221,639.929654
260.0,2907,641.467001
60.0,1085,642.050971
95.0,2353,643.339986
275.0,2851,644.820192
115.0,2349,646.056476
425.0,3013,651.768856
375.0,3093,653.396896
135.0,1549,654.212502
490.0,3385,656.004279
270.0,2627,657.366425
170.0,2313,658.593483
540.0,3755,660.546397
50.0,1545,661.345822
50.0,1219,662.011707
240.0,2325,663.220386
175.0,1903,664.217959
140.0,1909,665.229269
255.0,2775,666.696932
130.0,1379,667.400276
65.0,1745,668.32309
245.0,2691,669.764505
20.0,1081,670.329783
525.0,3751,672.286945
120.0,1867,673.273058
50.0,1377,673.977253
120.0,1517,674.782007
215.0,2183,675.947784
45.0,1085,676.505679
435.0,3175,678.192126
140.0,1935,679.23771
145.0,2003,680.279201
165.0,2363,681.527808
105.0,2033,682.620478
75.0,1177,683.250967
170.0,2347,684.489885
310.0,2499,685.819985
265.0,2767,687.286388
135.0,2017,688.351739
270.0,2613,689.749281
100.0,1573,690.560072
640.0,3491,692.434949
45.0,1087,693.011823
405.0,2909,694.527402
100.0,1169,695.15427
365.0,2604,696.554661
145.0,1873,697.555889
20.0,1443,698.308358
120.0,1405,699.041698
305.0,3025,700.657761
145.0,2113,701.759509
250.0,2595,703.165916
190.0,2323,704.384262
205.0,1993,708.716132
80.0,1505,709.520495
425.0,3449,711.351688
155.0,2085,712.458769
385.0,2777,713.918454
440.0,4015,715.996521
280.0,3539,717.905461
365.0,2025,718.970758
160.0,2119,720.136519
680.0,3577,722.016061
370.0,2799,723.490555
130.0,2733,724.971338
625.0,3387,726.728246
230.0,2113,727.83896
170.0,2777,729.310802
200.0,2157,730.461999
195.0,2015,731.570068
440.0,3079,733.223291
330.0,2425,734.538612
165.0,2265,735.751596
410.0,3389,737.537433
560.0,2691,738.944242
355.0,3683,740.86491
235.0,2421,742.108803
210.0,1755,743.044091
235.0,2361,744.310816
290.0,2631,745.669335
665.0,3655,747.586402
795.0,3875,749.620145
335.0,2929,751.170221
225.0,2317,752.374732
410.0,3005,753.926444
320.0,2741,755.359252
235.0,1893,756.365914
420.0,4263,758.589414
380.0,2531,759.918013
200.0,2427,761.210061
320.0,2735,765.068564
80.0,1121,765.6771
145.0,1931,766.719893
65.0,2115,767.860332
70.0,1829,768.835819
70.0,1509,769.640844
70.0,1265,770.315127
275.0,2619,771.68041
145.0,2157,772.806836
185.0,2107,773.950027
70.0,1413,774.689136
165.0,2491,776.018778
345.0,3143,777.727753
110.0,1443,778.477068
330.0,3423,780.312828
105.0,2089,781.408933
90.0,1837,782.414129
110.0,1759,783.357348
105.0,1967,784.411147
195.0,2065,785.518981
85.0,2337,786.778688
170.0,2649,788.223639
245.0,2833,789.752411
410.0,3666,791.698094
230.0,2281,792.91526
260.0,2191,794.094749
190.0,2269,795.317717
600.0,4163,797.456005
150.0,1941,798.474315
255.0,2939,800.011739
585.0,3329,801.770258
195.0,3267,803.504427
105.0,2003,804.583445
215.0,2561,805.927745
145.0,2031,806.978563
240.0,2503,808.290819
325.0,2965,809.861909
310.0,3621,811.76149
75.0,2095,812.865819
100.0,1833,813.841209
600.0,3873,815.928531
475.0,3281,817.672895
620.0,3801,823.122671
265.0,2135,824.242193
300.0,2943,825.793042
135.0,2039,826.916607
395.0,3657,828.852973
275.0,3327,830.64194
750.0,3673,832.639572
240.0,2605,834.049069
230.0,3153,835.703718
320.0,3291,837.463636
75.0,2221,838.649532
295.0,3129,840.299603
185.0,2803,841.785203
215.0,2229,842.995017
290.0,2661,844.379614
490.0,3097,845.990567
240.0,1877,847.024437
215.0,2143,848.161492
200.0,3113,849.79661
580.0,3957,851.841968
230.0,2755,853.305935
290.0,2704,854.718009
395.0,3223,856.438787
140.0,2159,857.626403
230.0,2101,858.752938
50.0,1001,859.283152
275.0,3939,861.397472
240.0,2757,862.870405
430.0,2313,864.079544
515.0,3009,865.721655
345.0,3459,867.539881
615.0,2867,869.090018
325.0,2879,870.647966
260.0,3161,872.343935
255.0,2580,873.716475
285.0,4387,880.702535
305.0,3621,882.629536
425.0,3025,884.235014
380.0,3189,885.919574
275.0,3049,887.553875
395.0,3529,889.445189
355.0,3495,891.27062
265.0,2499,892.572192
270.0,2187,893.718819
165.0,2239,894.90071
470.0,3639,896.821077
525.0,4949,899.355909
475.0,3401,901.146776
285.0,3411,902.936795
265.0,2585,904.334174
170.0,1917,905.339584
110.0,1493,906.17381
235.0,2859,907.679294
60.0,1787,908.615357
305.0,3667,910.512684
345.0,3117,912.176369
505.0,3071,913.801975
285.0,2949,915.404005
495.0,3719,917.331682
500.0,3135,919.008164
445.0,3741,920.99284
195.0,1927,922.006573
540.0,3555,923.912683
395.0,3121,925.548787
600.0,4793,928.052979
295.0,3207,929.72829
320.0,3081,931.345659
440.0,2353,932.572622
315.0,3357,938.100229
135.0,2119,939.221783
395.0,2865,940.785128
295.0,2727,942.254379
415.0,3393,944.088239
200.0,1995,945.136383
355.0,2963,946.688816
195.0,2047,947.772345
175.0,3107,949.402241
320.0,3429,951.250249
320.0,2929,952.775135
215.0,1917,953.795716
410.0,3339,955.615409
405.0,3809,957.564877
285.0,2399,958.857202
590.0,2723,960.310428
270.0,2984,961.885319
285.0,2437,963.180273
380.0,2805,964.628786
240.0,2743,966.072045
425.0,3071,967.665723
235.0,2821,969.16267
775.0,4267,971.45321
70.0,1145,972.048736
460.0,4039,974.154241
405.0,3757,976.113216
385.0,2641,977.469257
195.0,2587,978.825131
375.0,3841,980.81788
405.0,3275,982.531539
430.0,3667,984.423313
195.0,3037,986.041728
285.0,2651,987.432115
230.0,1805,988.355989
405.0,3521,990.195728
275.0,2451,991.455692
465.0,4809,998.3346
570.0,3943,1000.371709
325.0,2743,1001.820553
455.0,3187,1003.503283
265.0,2471,1004.805697
850.0,3555,1006.718949
410.0,2697,1008.157377
230.0,2761,1009.615335
310.0,2455,1010.904795
465.0,3925,1012.966712
310.0,3059,1014.582236
525.0,3935,1016.661721
130.0,2015,1017.743777
325.0,2975,1019.325353
590.0,2915,1020.880956
285.0,3543,1022.723518
320.0,2775,1024.215992
165.0,2257,1025.424885
370.0,3595,1027.333256
280.0,2613,1028.704743
255.0,2393,1029.94387
220.0,2455,1031.250772
745.0,4195,1033.445919
710.0,3385,1035.181431
250.0,2633,1036.617846
555.0,3927,1038.655833
575.0,4161,1040.823977
885.0,4341,1043.098059
315.0,2799,1044.590537
410.0,2625,1045.990705
545.0,4104,1048.123872
75.0,1901,1049.131003
600.0,4977,1055.563565
510.0,3021,1057.202307
350.0,3255,1058.903816
350.0,2925,1060.445265
215.0,2711,1061.841722
415.0,3941,1063.859569
380.0,2506,1065.160558
345.0,2921,1066.707952
450.0,2901,1068.221562
500.0,4133,1070.354473
340.0,2412,1071.684092
150.0,1813,1072.653816
185.0,1947,1073.673235
665.0,4045,1075.856847
330.0,2993,1077.39349
270.0,2643,1078.856182
305.0,2595,1080.340562
365.0,2753,1081.784899
440.0,3317,1083.523698
425.0,2327,1084.769777
335.0,3223,1086.477337
605.0,4347,1088.748345
365.0,2733,1090.196976
485.0,3465,1092.035334
345.0,2412,1093.318625
440.0,3063,1094.921996
550.0,3797,1096.92732
480.0,3931,1098.97011
345.0,2870,1100.501717
500.0,3171,1102.160731
365.0,3003,1103.780017
545.0,4363,1106.101983
585.0,3393,1111.970485
325.0,2769,1113.415105
230.0,2815,1114.896167
420.0,3198,1116.60392
195.0,2339,1117.836138
600.0,3983,1119.924045
420.0,3015,1121.511533
575.0,3781,1123.480712
470.0,2897,1124.982525
405.0,4112,1127.121776
495.0,3533,1128.92826
410.0,3169,1130.572056
185.0,2203,1131.732437
530.0,2679,1133.123122
210.0,1757,1134.046969
500.0,3631,1135.942028
190.0,2445,1137.216665
355.0,2697,1138.654352
470.0,2497,1139.96658
390.0,2879,1141.495223
355.0,3067,1143.10973
355.0,3289,1144.82051
530.0,2993,1146.394877
475.0,3647,1148.315135
195.0,1901,1149.351933
145.0,1453,1150.160655
235.0,2951,1151.712476
320.0,3251,1153.45091
625.0,3759,1155.447556
680.0,3243,1157.181828
